Year,HCPCS Code,NPI_DOC,SRVS_ASC_PHY,SRVS_IP_PHY,SRVS_OFF,SRVS_OP_PHY,ALWD_ASC_PHY,ALWD_IP_PHY,ALWD_OFF,ALWD_OP_PHY,PAID_ASC_PHY,PAID_IP_PHY,PAID_OFF,PAID_OP_PHY
2021,93010,1821260670,,575,,370,,4018.59,,2639.23,,3074.68,,1992.43
2020,93010,1073677977,,2,,,,16.86,,,,13.56,,
2019,93010,1073677977,,38,,11,,320.72,,84.4,,244.57,,66.1
2021,93010,1073677977,,,3,,,,16.26,,,,13.14,
2020,93010,1275505570,4,157,,159,25.29,1483.68,,1407.81,20.55,1190.34,,1084.19
2019,93010,1275505570,,157,,182,,1358.84,,1544.52,,1023.57,,1090.01
2021,93010,1275505570,4,194,,172,24.39,1674.78,,1406.49,19.8,1288.84,,1042.85
2019,93010,1336182294,,,,2,,,,8.77,,,,6.91
2020,93010,1255369567,,100,2,50,,821.64,8.41,386.01,,664.7,6.84,312.52
2019,93010,1255369567,,110,2,61,,924.73,8.21,507.19,,738.03,6.55,404.77
2021,93010,1255369567,,175,,33,,1451.71,,266.29,,1154.17,,212.97
2020,93010,1295783736,,39,,29,,328.77,,236.04,,259.46,,184.53
2019,93010,1295783736,,104,,51,,844,,362.92,,674,,289.82
2019,93010,1891014114,,6,,,,43.85,,,,34.4,,
2021,93010,1891014114,,41,,15,,335.01,,120.26,,269.88,,89.96
2020,93010,1295843019,,28,,8,,236.04,,59.01,,179.59,,40.53
2019,93010,1295843019,,43,2,31,,346.04,8.77,261.64,,262.47,7,189.93
2021,93010,1295843019,,13,,15,,105.69,,121.95,,84.63,,97.65
2020,93010,1801882907,,234,3,250,,1536.9,17.05,1577.22,,1214.44,13.59,1210.86
2019,93010,1801882907,,369,,519,,2878.12,,4138.68,,2294.22,,3240
2021,93010,1801882907,,299,,379,,1738.44,,2173.47,,1413.28,,1761.05
2020,93010,1003081308,,,,3,,,,17.16,,,,6.86
2019,93010,1003081308,,,,3,,,,17.14,,,,13.44
2021,93010,1003081308,,4,,,,24.9,,,,19.92,,
2020,93010,1760624951,,87,2,68,,765.17,8.83,591.29,,609.64,7.07,472.39
2019,93010,1760624951,,162,,52,,1488.41,,447.18,,1167.12,,350.79
2021,93010,1760624951,,52,,66,,487.68,,592.45,,390.09,,473.83
2020,93010,1689678187,,488,,298,,4408.89,,2647.02,,3500.19,,2079.44
2019,93010,1689678187,,566,,465,,5080.88,,4017.44,,4009.4,,3152.16
2021,93010,1689678187,,344,,242,,3065.01,,2048.76,,2401.72,,1559.47
2020,93010,1700885324,,753,,188,,7165.5,,1702.86,,5680.26,,1345.65
2019,93010,1700885324,,477,,250,,4928.96,,2422.28,,3821.83,,1887.45
2021,93010,1700885324,,546,,138,,5593.44,,1162.59,,4514.9,,941.64
2020,93010,1306847504,,37,8,143,,337.2,59.01,1104.33,,273.11,47.97,892.79
2019,93010,1306847504,,197,,191,,1747.08,,1451.68,,1390.15,,1154.32
2021,93010,1306847504,,28,,190,,252.03,,1333.32,,205.22,,1080.69
2020,93010,1932137767,,,2,,,,8.43,,,,6.84,
2019,93010,1932137767,,,7,,,,50.64,,,,40.44,
2020,93010,1780905810,,55,,66,,503.31,,556.29,,407.46,,420.83
2019,93010,1780905810,,77,,173,,640.21,,1482.13,,505.14,,1043.4
